passenger_name,role_hint
"Mrs. John Young, Mr.",
"Mrs. John Young, Mrs. Johnson",
Mrs. Johnson,"Ruth Johnson, née Maxwell"
"Mrs. Johnson, Mrs. Inonu, 25 guests: Mrs. Rusk, Billy Marcus, Jane Berkley, Carrie Davis",
"Mrs. Joseph A. Loftus, Mr.",
"Mrs. Josephine “Fifi” Laimbeer Fell, Clint Hill",Secret Service
"Mrs. Julian Scheer, Mr.",
Mrs. Knox,Annie Reid Knox
"Mrs. Larry Levinson, Lynda Bird",
"Mrs. Larry Levinson, Mr.",
"Mrs. Larry Levinson, Mrs. Willard Deason",
Mrs. Larry Temple,
"Mrs. Larry Temple, George Christian)",
"Mrs. Lawrence O’Brien, Mr.",
"Mrs. Leonard Marks, Mr.",
Mrs. Les Carpenter,Liz Carpenter
Mrs. Leslie Carpenter,Liz Carpenter
"Mrs. Leslie Carpenter, Mr.",
"Mrs. Lew Schollenberger, Mr.",
"Mrs. Longworth, Stewart Symington, Mme. Soong, Gen. Lindemann",British Embassy
"Mrs. Louella Dirksen, other prominent Congressional leaders",
Mrs. Louis Howe,"Grace Howe, nee Hartley"
"Mrs. M.L. Oden, Mr. G. Hall",
"Mrs. Martins, daughter of Brazilian Ambassador, Mr. Jesse Jones",
"Mrs. Marvin Watson, Cong.",
"Mrs. Marvin Watson, Mr.",
"Mrs. Mary Beck, Mark Beck",Mary Beck’s brother-in-law
"Mrs. Max Friedersdorf, Mr.",
"Mrs. Max L. Friedersdorf, Frank G. Zarb, Alan Greenspan",
Mrs. McGee,
Mrs. McHugh,
Mrs. McNeill,"Olga McNeil, née Harris"
Mrs. Meier,Eleonora Meier?
"Mrs. Mike Farrell, Mr.",
Mrs. Mike Mansfield,
"Mrs. Mike Monroney, Mr.",
"Mrs. Mildred Stegall, Mr.",
Mrs. Mitchell,
"Mrs. Mortimer, Misses Marya, Cippoli, Mary Holmes, Mr. Stephen Early",White House Press Secretary
Mrs. Moss Hart,Kitty Carlisle
Mrs. Nell Yates,
Mrs. Nelson A. Rockefeller,
"Mrs. Nelson Rockefeller, Mrs. Thomas G.",Janet
Mrs. Nixon,FLOTUS
Mrs. Nu,"Mya Yi, wife of Premier of Burma"
"Mrs. Orville Freeman, Mr.",
"Mrs. Pat Nixon, 39 Meridian Hill Park Community Area kids between 8-14, 4 teenage aides, 4 supervisors from Summer in the parks program. All of the kids were from the Dunbar Community School for the blind.",
Mrs. Patrick J. Buchanan,White House receptionist
Mrs. Paul Rogers),
Mrs. Peoples,
"Mrs. Philip Nichols, Hon.",
Mrs. Phillip Burton,wife
Mrs. Phleger,Mary Elena Phleger
Mrs. Ralph Ofstie,
"Mrs. Ramsey Clark, Cong.",
"Mrs. Ramsey Clark, Mr.",
"Mrs. Ray Roberts, Mr.",
"Mrs. Red Cavenay, Mr.",
"Mrs. Richard L. Phillips, Mr.",
Mrs. Richard Soloman,NSC
Mrs. Riordan,Marianne Means
"Mrs. Riordan, Mr.",
"Mrs. Robert Goldwin, Mr.",
Mrs. Robert Griffin,
Mrs. Robert H. Michel,wife
"Mrs. Robert Hardesty, Mr.",
"Mrs. Robert J. McCloskey, Mr.",
Mrs. Robert Lowkon,
Mrs. Robert Michel,Corinne Woodruff
"Mrs. Robert Smalley, Mr.",
Mrs. Robinson,"Ewilda “Billy” Grady Robinson, née Miller"
Mrs. Roger E. Johnson,
"Mrs. Rosemary Sullivan, Eugene Sullivan",WH legal staff
Mrs. Rusk,wife of Secretary of State
"Mrs. Rusk, King Bhumibol",King of Thailand
Mrs. Schroeder,Sec. to Eleanor
Mrs. Simon McHugh,
"Mrs. Simon McHugh, Capt. Barry Beck, Mary Slater, Mr.",
"Mrs. Simon McHugh, Frances McCammon, Mr.",
"Mrs. Simon McHugh, Franny McCammon, Mr.",
"Mrs. Simon McHugh, Mary Rather",
"Mrs. Simon McHugh, mf. Jim Jones, John Criswell, Cong.",
"Mrs. Simon McHugh, Mr.",
"Mrs. Simon McHugh, Sen.",
Mrs. Stevens,Dorothy Stevens
"Mrs. Stewart Udall, Cong.",
Mrs. Symington,wife of SEN-MO
"Mrs. Terry O’Donnell, Mr.",
"Mrs. Thomas Morgan, Representative",
Mrs. Thomas P. O’Neill,wife
"Mrs. Thornberry, Bob Waldron MMW, Jean",
Mrs. Tom Johnson),
Mrs. Tricia Cox,
"Mrs. Trudy Fry, Sarah Currence, Eleanor Connors. Mr.",
Mrs. Tugwell,"Florence Tugwell, née Arnold"
"Mrs. Vicky McHugh, Capt. Barry Beck",
"Mrs. Victor Gruen, Frederick Gutheim, Francis Lethridge",
"Mrs. Walt Rostow, John Criswell, Cong.",
"Mrs. Walt Rostow, Lynda",in white satin harem pants
"Mrs. Walt Rostow, Mr.",
"Mrs. Walt Rostow, Warren Woodward, Bess",
"Mrs. Walter Mazan, Mr.",
Mrs. Warren Magnuson,
Mrs. Warren Robbins,"Irene Delano Robbins, née de Bruyn"
"Mrs. Warren Rustand, Mr.",
Mrs. Willard Deason,
"Mrs. Willard Deason, Cong.",
"Mrs. Willard Deason, John Macy","Chairman, Civil Service Comm"
"Mrs. Willard Deason, Mr.",
"Mrs. William Glasgow of Chestnut Hill, PA, Mrs Margaret Wright of Newport, RI",
Mrs. William H. Crook),
"Mrs. William Mailliard, Representative",
"Mrs. William Poage, Mrs. Fleming",Mrs. Poage’s sister
Mrs. William S. White,
"Mrs. William S. White, Hon.",
"Mrs. William S. White, Joe Califano, Mr.",
"Mrs. William S. White, Mary Rather, Mr.",
"Mrs. William S. White, Mr.",
"Mrs. William S. White, Mr. Means",
Mrs. Willis Hurst,Nelie Hurst
Mrs. Wilson Brown,"Lydia Brown, nêe Ballou"
Mrs. Winslow,
Mrs. Wirtz,wife of Secretary of Labor
"Mrs. Wood, The Misses White",
Mrs. Yuk Young-soo,first lady of Korea
Mrs. Yvonne de Gaulle,
Murray Snyder,Pentagon press secretary
navy brass?,
Navy Munitions Board,
Neil McElroy,Secretary of Defense
"nephew David, Hon.",
Nguyễn Đình Thuận,Secretary of State under President Ngo Dinh Diem of South Vietnam
Nikolai S. Patolichev,Minister of Foreign Trade of the USSR
nineteen others,
Nita Louise,
Nixon,
"Nixon, Assistant Henry A. Kissinger, Major General Alexander Haig",
"Nixon, Attorney General John N. Mitchell, Assistant H.R. Haldeman",
"Nixon, Attorney General John N. Mitchell, Assistant Henry A. Kissinger, C.G. Rebozo",
"Nixon, Attorney General John N. Mitchell, Reverend Billy Graham, Mr. Haldeman, Assistant John D. Ehrlichman, Mr. Kissinger, Counselor Donald Rumsfeld, Harry Dent )",
"Nixon, C.G. Rebozo",
"Nixon, Cardinal Krol, Secretary of State William P. Rogers, Mr. Colson, Major General Alexander Haig",
"Nixon, Congressmen John N. Erlenborn",R-IL
"Nixon, Congressmen Leslie C. Arends",R-IL
"Nixon, Congressmen Omar Burleson",D-TX
"Nixon, Counsellor Robert H. Finch)",
"Nixon, Ensign",
"Nixon, family members",
"Nixon, James D. St. Clair",Special Counsel
"Nixon, Julia Eisenhower, David Eisenhower",
"Nixon, Julie Eisenhower, Edward C. Nixon, Personal Secretary Rose Mary Woods, Major General and Mrs. Haig, Special Assistant Patrick J. Buchanan, Mrs. Patrick J. Buchanan",Shelley Ann Scarney
"Nixon, Leonid Brezhnev, Secretary of State William P. Rogers, Assistant Henry A. Kissinger, Assistant Ronald L. Ziegler, Secretary of the Treasury George P. Shultz, NSC Staff Member William Hyland, Andrey A. Gromyko",Minister of Foreign Affairs of the USSR
"Nixon, Military Assistant Major John V. Brennan",
"Nixon, Mr. Alexander M. Haig, Jr.",
"Nixon, Mr. Alexander M. Haig, Jr., Lt. Cdr. T. Stephen Todd",military aide
"Nixon, Mr. Alexander M. Haig, Jr., Major General Walter Tkach, Lt. Cdr. T. Stephen Todd",military aide
"Nixon, Mr. Haldeman, Assistant Henry A. Kissinger, Deputy Assistant Major General Alexander M. Haig, Jr.",
"Nixon, Mr. Haldeman, Deputy Assistant Major General Alexander M. Haig, Jr.",
"Nixon, Mr. Haldeman, John N. Mitchell (attorney for Mudge, Rose, Guthrie",
"Nixon, Mr. Haldeman, Mr. Colson, Director of the Elections Research Center for the Governmental Affairs Institute, Dick Scammon",
"Nixon, Mr. Haldeman, Mr. Colson, Mr. Ehrlichman, Mr. Caspar Weinberger",
"Nixon, Mr. Haldeman, Special Consultant Leonard Garment, Assistant William E. Timmons)",
"Nixon, Mr. Harlow",
"Nixon, Mr. Henry A. Kissinger",
"Nixon, Mr. Raymond Price)",
"Nixon, Mr. Rebozo, Dr. William M. Lukash",Personal Physician
"Nixon, Mr. Rebozo, Lt. Col. William L. Golden",Military Aide
"Nixon, Mr. Ron Ziegler",
"Nixon, Mr. Ronald L. Ziegler, Lt. Cdr. T. Stephen Todd",military aide
"Nixon, Pat Nixon, Julia Nixon Eisenhower",
"Nixon, Pat Nixon, most likely Julie",
"Nixon, Pat Nixon, Mrs. John Eisenhower",Barbara Thompson
"Nixon, Secretary of Commerce Maurice H. Stans, Hon. Fred J. Russell",Undersecretary of the Interior
"Nixon, Secretary of State William P. Rogers",
"Nixon, Secretary of the Treasury John B. Connally, Director of the OMB George P. Shultz, Mr. Ehrlichman, Mr. Haldeman, Assistant Peter M. Flanigan",
"Nixon, Secretary of the Treasury John B. Connally, Mr. Haldeman, Mr. Ehrlichman, Mr. Peter Flanigan, Secretary of State William P. Rogers",
"Nixon, the First Lady Pat Nixon",
"Nixon, the First Lady Pat Nixon, Julie Eisenhower",
"Nixon, the First Lady Pat Nixon, Julie Eisenhower, Tricia Nixon, possibly Harrison H. McCall",
"Nixon, the First Lady Pat Nixon, Julie Nixon, Tricia Cox",
"Nixon, the First Lady Pat Nixon, Major General Tkach",
"Nixon, the First Lady Pat Nixon, Mr.",
"Nixon, the First Lady Pat Nixon, Mr. Rebozo",
"Nixon, the First Lady Pat Nixon, Roger E. Johnson",Assistant to the Acting Chief of Protocol
"Nixon, the First Lady Pat Nixon, Rose Mary Woods",executive assistant
"Nixon, the First Lady Pat Nixon, Tricia Cox",
"Nixon, the First Lady Pat Nixon, Tricia Nixon, Mr.",
"Nixon, the First Lady, Julie",
"Nixon, unnamed White House physician",
"Nixon, Vice President",Spiro Agnew
"Nixon, Vice President Spiro Agnew, Attorney General Mitchell, Chairman Rogers Morton, Secretary Finch)",
"Nixon, VP Spiro T. Agnew, Attorney General John N. Mitchell, Congressman Rogers Morton, Assistant H.R. Haldeman, Counselor Robert Finch)",
"Nurse Besse Williams, August ""Gus"" Adolph Gennerich",
O.C. Fisher,D-TX
"Odin Langen, congressmen, White House staff",
Olin E. Teague,D-TX
"Oliver Gale, (Defense Secretaries McElroy",
Orville L. Freeman,Secretary of Agriculture
other Cabinet wives,
other congressional wives.,
other congressmen,
"other regulatory commissioners, Civil Aeronautics Board, Federal Communications Commission, Federal Power Commission, Federal Trade Commission, Interstate Commerce Commission",
other supportive Democrats,DEMOCRAT
other WH legal staff members. James D. St. Claire,maybe
others,
others’,
Otto E. Passman,D-LA
"Oveta Culp Hobby (Secretary of Health, Education",
Pat Nixon,Second Lady
"Pat Nugent, Ambassador Loyd Hand, Harry McPherson, MF",
Patrick J. Buchanan,Special Consultant
Patrick J. Hurley,Secretary of War
"Paul ""Red"" Fay",Assistant Secretary of the Navy
Paul Claude,French Ambassador
Paul Davis Jr.,NH FFA
Paul Hart,Secret Service
"Peggie Brumback, Joann Stoddard, Marti McAlister, Eva Brantley, Ann Watwood",
Peter McCarthy,social aide
Phil Buchen,
Phil Johnson,National FFA VP
Phillips Talbot,Assistant Secretary of State- NEA
Pierre Laval,French Premier
PMG,
political supporters from the private sector.,
"Postmaster General Winton M. Blount, others",
"Postmaster General Winton M. Blount, top staff",
"President Ford, L. William Seidman, Brent Scowcroft, Frank G. Zarb, Alan Greenspan, James R. Schlesinger, Edward H. Levi, Earl L. Butz, John T. Dunlop, Carla A. Hills, William T. Coleman, Stephen S. Gardner, John K. Tabor, D. Kent Frizzell, Stephen Kurzman, Philip W. Buchen, Frederick B. Dent, Robert T. Hartmann, James T. Lynn, John O. Marsh, Donald H. Rumsfeld, John A. Scali, William J. Baroody, James M. Cannon III, Richard B. Cheney, James E. Connor, Max L. Friedersdorf, Ronald H. Nessen, Roderick M. Hills, William I. Greener, Mary Louise Smith)",
President Herbert Hoover,POTUS
"Pricilla Thompson, John",
"Prince Charles, Princess Anne, Joe Jarboe, Anne Jarboe, 17 other guests.",
Prince Ras Desta Damtew,Special Ambassador of the Emperor of Ethiopia
Princess Kaya with Imperial Party,
Principal of The Todhunter School),
"Prof. Raymond Moley, Marguerite Alice ""Missy"" LeHand, Chief Pharmacist George A. Fox",US Navy medic
"Prof. Raymond Moley, Mr. Stephen T. Early",press secretary
Queen Humaira Begum of Afghanistan,
"Queen Margrethe II of Denmark, H.R.H. Prince Henrik Ditlev Engel",then-CEO of global wind turbine manufacturer Vestas
Queen Sirikit,
R. Walton Moore,Asst. Sec. of State
R.C. Wood,Secret Service
R.C. Woods,Secret Service
Ralph Austin Bard,Assistant Secretary of the Navy
Ramsay MacDonald,UK Prime Minister
ranking members,
Ranking Minority Committee Members,REPUBLICAN
ranking Minority Senate Committee Members,REPUBLICAN
Ray Bell,
Raymond P. Shafer,Former Governer of Pennsylvania
Raymond Timothy,UT FFA
Rear Adm. Cary T. Grayson,Medical Corps
Rear Adm. Cary T. Grayson (Chairman of the American Red Cross,
"Rear Admiral H.V. Butler, Alla Paulos Mancmanos",Prince’s Equerry
"Rear Admiral Richard Byrd, Anna Roosevelt Dall Boettiger Halstead (Daughter of FDR",
"Red Cross volunteers, part of summer parks.",
Rep J.W. Fulbright,D-AR
"Rep. Frank N. Ikard, Mr.",
Rep. John Taber,R-NY
"Rep. Joseph Wellington ""Jo"" Byrns Sr. (D-TN",
Rep. Sam Rayburn (D-TX,
Representative Lloyd Bentsen,D-TX
Republican House Freshmen Members,REPUBLICAN
Republican House Leadership,
Republican Leadership,
Republican Members of the House,REPUBLICAN
retiring chairman of the Joint Army And Navy Munitions Board),
Richard H. Ichord,D-MO
Richard Jervis,White House Secret Service chief
"Ricki Silberman, Louis",
Robert A. Lovett,Asst. Secretary of War for Air
Robert Bernard Anderson,Dep. Sec. of Defense
"Robert Brownell, Capt. Wilson Brown)",Naval Aide
"Robert C. Gresham, Jerry Meyer, Bryce Harlow, other House staffers, Theodore J. Kazy",
Robert Cutler,National Security Advisor
Robert Finch),
"Robert G. Stephens, Jr.",D-GA
Robert H. Michel,R-IL
Robert I. Waston (Managing Director of the Burmah Oil Company,
Robert Keith Gray,White House Cabinet Secretary
Robert L.F. Sikes,D-FL
Robert McNamara,Secretary of Defense
Robert Morris,past FL FFA pres
Robert P. Lamont,Secretary of Commerce
Robert P. Patterson,Under Secretary of War
Robert Porter Patterson Sr.,Secretary of War
Robert T. Hartmann ​​,Counselor to the President
Roger Groll,OH FFA
"Rogers C. B. Morton, Nelson A. Rockefeller",VP
Roland Clark,Secret Service
"Ron Nessen, public affairs officers",
Ron Pontius,Secret Service
Rose Mary Woods,executive assistant
roughly 30 Vietnam war vets,
Rudy Wetherington,FL FFA
Russell E. Train,
"Sally Parker, Allen",
Sam Devine Group,House members
Sam Rayburn,House Minority Leader
Samuel L. Devine,R-OH
Samuel S. Stratton,D-NY
Sec. of Navy Claude Swanson with Mr. Douglas Hall,Secretary Swanson’s step-son
Sec. Robert A. Lovett,Asst Secretary of War for Air
Sec. to Eleanor Roosevelt),
"Secretary David Packard, 30 members of the Defense Industrial Advisory Council, Prince Charles",
Secretary James Schlesinger,
Secretary Laird,Dept of Defense
"Secretary Melvin Laird, other former Secretaries of Defense",
Secretary of Army Robert T. Stevens,
"Secretary of Defense Charles E. Wilson, Deputy Secretary of Defense Robert M. Kyes, Assistant Secretary of Defense Wilfred J. McNeil",
Secretary of the Navy,Swanson?
Secretary of the Navy John Chafee,
Secretary of the Navy Robert B. Anderson,
Secretary of Treasury David M. Kennedy,
Secretary Robert P. Patterson,Secretary of War
"Secretary William Coleman, the White House Fellows including Dr. William Hamilton)",Penn connection\!
Sen,
Sen Dirksen,
"Senate Housing Committee, Carla Hills",
Senator,
"Senator \[Maguire?\], Mr.",
"Senator Alan Bible, John",
Senator Alben Barkley,D-KY
Senator Alben W. Barkley,SEN-KY
Senator Bible,
Senator Burton K. Wheeler,D-MT
Senator Dirkson,
"Senator Edward ""Ted"" Kennedy and Virginia Joan Bennet Kennedy, Mr. Peter E. Smith and Mrs. Gene Kennedy Smith, Paul “Red” Fay",Undersecretary of Navy
Senator Frank E. Moss,
Senator George L.P. Radcliffe,D-MD
Senator Hiram W. Johnson,R-CA
Senator J.\_William\_Fulbright,
Senator James F. Byrnes,SEN-SC
Senator Joseph T. Robinson (D-AR,
Senator Joseph Taylor Robinson (D-AR,
Senator Key Pittman (D-NV,
Senator Leverett Saltonstall,R-MA
Senator Lyndon B. Johnson,Senate Majority Leader D-TX
Senator Robert P. Griffin,
Senator Styles Bridges,R-NH
Senator Wallace H. White,R-ME
Senator Warren Austin,R-VT
"Senators Gordon Allott, Alan Bible, J. Caleb Boggs, Harry F. Byrd, Jr., Norris Cotton, Everett McK. Dirksen, Robert P. Griffin, Henry M. Jackson, Warren G. Magnuson, John L. McClellan, Gale W. McGee, Karl E. Mundt, Robert W. Packwood, John O. Pastore, Winston L. Prouty, John Stennis, Milton R. Young, Secretary of Defense Melvin R. Laird, Secretary of Interior Walter J. Hickel, Secretary of Transportation John A. Volpe",
Senior Majority,
Senior Majority Professional Staff Members of Standing Committees in the House Of Representatives,DEMOCRAT
Senior Minority Professional Staff Members of Standing Committees in the House of Representatives,REPUBLICAN
Senior Staff Members of the Majority Leadership,
Sergio Fenoaltea,Italy
Sir John Anderson,Chairman of British Atomic Energy Committee
"Sir John Cadman (Chairman of Anglo Persian Oil Company, Chairman Iraqi Petroleum Company",
Sir Patrick Dean,Great Britain
Sir Robert Vansittart,Permanent Under-Secretary at the Foreign Office
"sister Janice Fehmer, Bill Colle",social aide
son Pat Deason,
son Phil Hurst,
Souvanna Phouma,Prime Minister of Laos
Speaker of the House),
"Speaker Wright, Jack Brooks, Charlotte Brooks, 48 other guests.",
"Special Counsel Harry S. Dent, Special Assistant Patrick J. Buchanan, Mr. Colson",
staff,40 or so people
"staff, up to 45",
staff.,
"staffers, John W. Wydler, Thomas S. Kleppe, James R. Grover, Jr., Bryce Harlow",
Stan Scott,
"Stanley B. Thomas, Jerome Schuman, John Blake, Melvin Humphrey, Judge William S. Thompson",
State Department Representative Mr. Tom Korologos,
Stephen T. Early Jr,Stephen Early’s son
Steve Fowler,AL FFA
stewardesses,
"Stewart Lee Udall, Ermalee Webb",wife of Secretary of Interior
"Susan Ewell, Al Johnson, Carroll Lawrence, Ed Ratti, Rita DeSantis",White House Hairdresser
Susan Ford,
"Susan Ford, William W. Pifer",Susan’s date
"Susan Stevenson, Mr.",
T. Keith Glennan,NASA Administrator
the American Association of Retired Persons,
The balance of the House Republican Members,REPUBLICAN
"The First Lady Pat Nixon, Nash Castro, poor children between ages of 9-12: Latetia Barrett, Veronica Gruder, Gloria Mapp, David Porter, Kenneth Brewer, Donald Fimms, Theresa Young, Kathy McCoy, Mike Scalley, Lisa Burvell, Lauren Burwell, Terrell Cannon, Ernest Fields, Bernard Austin, Sheila James, Harla D. Bennett, Michael Jackson, Herbert Bonnette, Karen Dunn, Robert Thompson, Geraldine Stuart, Terrance Nathan, Francis Lampkins, Carlton Mahoney",
"the First Lady, C.G. Rebozo",
"the following 7 girls from the Todhunter School \- Jane Holmes, Adelaide Moffett, Peggy Ladds, Inez Alexander, Betty Cook, Joan Strahan",
"the House Housing Committee, Carla Hills",
The Marquis de Merry DEL VAL,Spain
The Minority Whips of the House of Representatives,REPUBLICAN
the Shell Trading Company),
"their spouses, Joan K. Benziger",
their wives,
"their wives, Bryce Harlow, Bill Timmons",
"Tom Connally, Marvin H. McIntyre",from KY
Tom Johnson),
Tom S. Gettys,D-SC
Towslee,Secret Service
Trey Deathe,
Tricia Nixon,
"Tricia Nixon, Mr.",
"Tricia Nixon, underprivileged youth group",24 kids
"Tricia or Julie Nixon, Youth Group",
"Trina Schulhof, Bob",
"Tyler Abell, Hon.",
"Tyler, Jim Cain, Clark Clifford, Carole Welch",
underprivileged youth group,24 kids
unknown,
Various Cabinet members,
various journalist from Texas,
veterans,
Vice Admiral Arthur C. Davis,
Vice Chairman of the War Productions Board),
Viktor M. Sukhodrev (interpreter,
W.C. Daniel),D-VA
W.L.M. King,PM of Canada
Walter,
Walter Bedell Smith,Under Secretary of State
Walter C. Teagle,President of Standard Oil of New Jersey
Walter Ewing Hope,Former Assistant Secretary of the Treasury
Walter George (D-GA,
Walter H. Newton,personal secretary to President Hoover
"Walter J. Sotessel, Jr.",acting assistant sec. Of state
Warren Delano Robbins,U.S. Minister to Canada
Warrie Lynn),
Washington Clemency Board,
Wayne Vangraefschepe,CO FFA
Welfare),
Wendell Wyatt,R-OR
"White House Aide Anne Armstrong, Mrs. John Rhodes",Betty Harvey
"White House Staff Members Dr. Henry Kissinger, Bryce Harlow",
"wife, 11 PRC delegation",chosen by Ambassador
wife.,
Will Irwin (author,
William Dawson of the State Department.,
"William E. Barry, Margaret Barry, other White House Fellows",
William E. Timmons),
William G. Bray,R-IN
"William H. Dunning, Jr.",
"William H. Dunning, Jr. \+ 9",
William H. Woodin,Secretary of Treasury
William J. Casey,Director CIA
"William J. Donovan, Edgar Ansel Mowrer",Former Bureau Chief of Knox’s paper the Chicago Daily News
William L. Dickinson,R-AL
William M. Fraser,Managing Director of Anglo Persian Oil Company
William Pettus Hobby,former Gov. of Texas
William T. Coleman,wife
"William Verity, Jr.",Secretary of Commerce
William “Bill” Emerson Brock III,Secretary of Labor
wives,
wives of Japanese cabinet delegation led by Foreign Minister Etsusaburo Shiina,
"Wolf Trap Company, Mrs. Catherine Filene Shouse",
Yolanda Boozer,personal secretary to President
"young men for hospitals in Washington area, Lynne Grace",
½ of Senate GOP: Sherman P. Lloyd,
​​Eva Samano de López Mateos,first lady of Mexico
‘a group of unidentified people from Texas aboard the Presidential yacht USS Sequoia’.,
‘Japanese ladies,
